# Nmap 7.70 scan initiated Fri Aug 16 16:41:42 2019 as: nmap -sP -vv -o seg.log 4.4.*.100-101
Nmap scan report for 4.4.105.101 [host down, received no-response]
Nmap scan report for 4.4.106.100 [host down, received no-response]
Nmap scan report for 4.4.106.101 [host down, received no-response]
Nmap scan report for 4.4.107.100 [host down, received no-response]
Nmap scan report for 4.4.107.101 [host down, received no-response]
Nmap scan report for 4.4.108.100 [host down, received no-response]
Nmap scan report for 4.4.108.101 [host down, received no-response]
Nmap scan report for 4.4.109.100 [host down, received no-response]
Nmap scan report for 4.4.109.101 [host down, received no-response]
Nmap scan report for 4.4.110.100 [host down, received no-response]
Nmap scan report for 4.4.110.101 [host down, received no-response]
Nmap scan report for 4.4.111.100 [host down, received no-response]
Nmap scan report for 4.4.111.101 [host down, received no-response]
Nmap scan report for 4.4.112.100 [host down, received no-response]
Nmap scan report for 4.4.112.101 [host down, received no-response]
Nmap scan report for 4.4.113.100 [host down, received no-response]
Nmap scan report for 4.4.113.101 [host down, received no-response]
Nmap scan report for 4.4.114.100 [host down, received no-response]
Nmap scan report for 4.4.114.101 [host down, received no-response]
Nmap scan report for 4.4.115.100 [host down, received no-response]
Nmap scan report for 4.4.115.101 [host down, received no-response]
Nmap scan report for 4.4.116.100 [host down, received no-response]
Nmap scan report for 4.4.116.101 [host down, received no-response]
Nmap scan report for 4.4.117.100 [host down, received no-response]
Nmap scan report for 4.4.117.101 [host down, received no-response]
Nmap scan report for 4.4.118.100 [host down, received no-response]
Nmap scan report for 4.4.118.101 [host down, received no-response]
Nmap scan report for 4.4.119.100 [host down, received no-response]
Nmap scan report for 4.4.119.101 [host down, received no-response]
Nmap scan report for 4.4.120.100 [host down, received no-response]
Nmap scan report for 4.4.120.101 [host down, received no-response]
Nmap scan report for 4.4.121.100 [host down, received no-response]
Nmap scan report for 4.4.121.101 [host down, received no-response]
Nmap scan report for 4.4.122.100 [host down, received no-response]
Nmap scan report for 4.4.122.101 [host down, received no-response]
Nmap scan report for 4.4.123.100 [host down, received no-response]
Nmap scan report for 4.4.123.101 [host down, received no-response]
Nmap scan report for 4.4.124.100 [host down, received no-response]
Nmap scan report for 4.4.124.101 [host down, received no-response]
Nmap scan report for 4.4.125.100 [host down, received no-response]
Nmap scan report for 4.4.125.101 [host down, received no-response]
Nmap scan report for 4.4.126.100 [host down, received no-response]
Nmap scan report for 4.4.126.101 [host down, received no-response]
Nmap scan report for 4.4.127.100 [host down, received no-response]
